عنوان_H1,قاره_یا_منطقه,کشور_مقصد,جهت_در_منطقه,شهر_یا_جزیره_مقصد,شهر_یا_استان_مبدا,نوع_تور,فصل_برگزاری,ماه_تقویمی_برگزاری,تعطیلات_خاص_تقویمی,رویداد_یا_مناسبت_خاص,تم_یا_هدف_سفر,نوع_وسیله_نقلیه,نام_دقیق_هتل,تعداد_ستاره_هتل,برچسب_کلاسی_تور,پرسونای_مخاطب,وضعیت_ویزا,نوع_سفر
تور کوش آداسی تیر 1405,اوراسیا,ترکیه,مدیترانه,کوش آداسی,null,تک مقصد,تابستان,تیر,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن
تور ترابزون تابستان 1405,اوراسیا,ترکیه,قفقاز و آناتولی,ترابزون,null,تک مقصد,تابستان,null,null,null,null,زمینی، هوایی,null,null,null,null,بدون ویزا,تفریحی، طبیعت‌گردی
تور مارماریس تابستان 1405,اوراسیا,ترکیه,مدیترانه,مارماریس,null,تک مقصد,تابستان,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن
تور بدروم تابستان 1405,اوراسیا,ترکیه,مدیترانه,بدروم,null,تک مقصد,تابستان,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن
تور استانبول هتل آوانتگارد,اوراسیا,ترکیه,قفقاز و آناتولی,استانبول,null,تک مقصد,null,null,null,null,null,هوایی، زمینی,هتل آوانتگارد,null,null,null,بدون ویزا,تفریحی، خرید، تاریخی-فرهنگی
تور هلند,اروپا,هلند,اروپای غربی,null,null,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تفریحی، تاریخی-فرهنگی
تور آمستردام,اروپا,هلند,اروپای غربی,آمستردام,null,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تفریحی، تاریخی-فرهنگی
تور وان هتل هالدی,اوراسیا,ترکیه,قفقاز و آناتولی,وان,null,تک مقصد,null,null,null,null,null,زمینی، هوایی,هتل هالدی,null,null,null,بدون ویزا,خرید، تفریحی
تور ترابزون تیر 1405,اوراسیا,ترکیه,قفقاز و آناتولی,ترابزون,null,تک مقصد,تابستان,تیر,null,null,null,زمینی، هوایی,null,null,null,null,بدون ویزا,تفریحی، طبیعت‌گردی
تور چابهار بهار 1405,آسیا,ایران,جنوب کشور,چابهار,null,تک مقصد,بهار,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تور چابهار عید فطر 1405,آسیا,ایران,جنوب کشور,چابهار,null,تک مقصد,null,null,عید فطر,null,null,هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تور چابهار خرداد 1405,آسیا,ایران,جنوب کشور,چابهار,null,تک مقصد,بهار,خرداد,null,null,null,هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تور چابهار اردیبهشت 1405,آسیا,ایران,جنوب کشور,چابهار,null,تک مقصد,بهار,اردیبهشت,null,null,null,هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تور چابهار تیر 1405,آسیا,ایران,جنوب کشور,چابهار,null,تک مقصد,تابستان,تیر,null,null,null,هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تور تبریز نوروز 1405,آسیا,ایران,شمال کشور,تبریز,null,تک مقصد,بهار,null,نوروز,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور شیراز نوروز 1405,آسیا,ایران,جنوب کشور,شیراز,null,تک مقصد,بهار,null,نوروز,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور شیراز تابستان 1405,آسیا,ایران,جنوب کشور,شیراز,null,تک مقصد,تابستان,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور شیراز خرداد 1405,آسیا,ایران,جنوب کشور,شیراز,null,تک مقصد,بهار,خرداد,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور شیراز تعطیلات خرداد 1405,آسیا,ایران,جنوب کشور,شیراز,null,تک مقصد,بهار,خرداد,تعطیلات خرداد,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور شیراز هتل ساسان,آسیا,ایران,جنوب کشور,شیراز,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل ساسان,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور شیراز اردیبهشت 1405,آسیا,ایران,جنوب کشور,شیراز,null,تک مقصد,بهار,اردیبهشت,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور قشم خرداد 1405,آسیا,ایران,جنوب کشور,قشم,null,تک مقصد,بهار,خرداد,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور قشم نوروز 1405,آسیا,ایران,جنوب کشور,قشم,null,تک مقصد,بهار,null,نوروز,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور قشم بهار 1405,آسیا,ایران,جنوب کشور,قشم,null,تک مقصد,بهار,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور جام جهانی کیش,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,جام جهانی,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,رویداد ورزشی، تفریحی
تور کیش شهریور 1405,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,تابستان,شهریور,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش از رشت,آسیا,ایران,جنوب کشور,کیش,رشت,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور قشم هتل بوتیک ایرمان,آسیا,ایران,جنوب کشور,قشم,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل بوتیک ایرمان,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور قشم هتل آوینا,آسیا,ایران,جنوب کشور,قشم,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,هتل آوینا,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور کیش تابستان 1405,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,تابستان,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش پاییز 1405,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,پاییز,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور قشم تابستان 1405,آسیا,ایران,جنوب کشور,قشم,null,تک مقصد,تابستان,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور کیش آذر 1405,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,پاییز,آذر,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش از کرمانشاه,آسیا,ایران,جنوب کشور,کیش,کرمانشاه,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش با پرواز ماهان,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش ماه عسل,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,ماه عسل,هوایی,null,null,null,null,بدون ویزا,ماه عسل، استراحت و ریلکسیشن
تور کیش هتل شایگان,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل شایگان,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور کیش هتل ترنج,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,هتل ترنج,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
